eval,best_fitness,best_cov,best_time,best_size,is_feasible,best_selected_tests,best_included_elements
45,0.914075,20,18.2000,9,1,"t4 t5 t11 t12 t14 t23 t26 t27 t28","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
46,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
47,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
48,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
49,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
50,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
51,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
52,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
53,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
54,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
55,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
56,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
57,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
58,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
59,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
60,0.923525,20,16.2000,8,1,"t4 t5 t11 t12 t14 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
61,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
62,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
63,0.927705,20,15.4000,7,1,"t4 t5 t11 t12 t14 t23 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
