algorithm,seed,final_best_fitness,final_best_cov,final_best_time,final_best_size,final_best_feasible,selected_tests,included_elements
C_elitist_random_search,12,0.929022,20,15.1000,7,1,"t1 t2 t11 t14 t16 t29 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,13,0.933853,20,14.0000,7,1,"t5 t7 t8 t11 t12 t14 t29","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,14,0.943075,20,11.9000,7,1,"t2 t5 t6 t12 t17 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,15,0.940440,20,12.5000,7,1,"t1 t2 t5 t8 t17 t19 t21","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,16,0.947694,20,11.0000,6,1,"t2 t5 t6 t7 t8 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,17,0.940228,20,12.7000,6,1,"t4 t5 t7 t8 t12 t14","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,18,0.932747,20,14.1000,8,1,"t4 t5 t8 t12 t14 t17 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,19,0.940652,20,12.3000,8,1,"t2 t5 t11 t14 t21 t23 t28 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,20,0.947027,20,11.0000,7,1,"t2 t5 t11 t12 t14 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,21,0.946376,20,11.3000,6,1,"t1 t2 t3 t5 t11 t17","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,22,0.946376,20,11.3000,6,1,"t1 t2 t3 t5 t11 t17","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,23,0.949662,20,10.4000,7,1,"t2 t3 t5 t11 t14 t17 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,24,0.941985,20,12.3000,6,1,"t2 t4 t5 t7 t14 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,25,0.943075,20,11.9000,7,1,"t2 t5 t6 t12 t17 t21 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,26,0.949662,20,10.4000,7,1,"t2 t3 t5 t11 t14 t17 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,27,0.940652,20,12.3000,8,1,"t2 t5 t11 t14 t21 t23 t28 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,28,0.940652,20,12.3000,8,1,"t2 t5 t11 t14 t21 t23 t28 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,29,0.932096,20,14.4000,7,1,"t5 t6 t8 t12 t21 t22 t23","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
C_elitist_random_search,30,0.941985,20,12.3000,6,1,"t2 t4 t5 t7 t14 t30","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
